VisitorTeam	VisitorPTS	HomeTeam	HomePTS	Attendance
HoustonRockets	94	NewYorkKnicks	109	19439
MiamiHeat	97	TorontoRaptors	121	19631
CharlotteHornets	112	NewOrleansPelicans	132	16093
DallasMavericks	110	LosAngelesLakers	127	18338
BrooklynNets	103	PortlandTrailBlazers	105	17021
WashingtonWizards	109	NewYorkKnicks	113	19466
ChicagoBulls	116	TorontoRaptors	110	19312
OklahomaCityThunder	134	UtahJazz	129	18206
MemphisGrizzlies	103	MinnesotaTimberwolves	118	18024
IndianaPacers	126	SacramentoKings	121	17832
SanAntonioSpurs	120	CharlotteHornets	124	19093
Philadelphia76ers	124	OrlandoMagic	109	19063
DenverNuggets	102	BostonCeltics	100	19156
AtlantaHawks	109	MiamiHeat	108	20040
PhoenixSuns	123	NewOrleansPelicans	109	18686
IndianaPacers	115	PortlandTrailBlazers	118	18595
BrooklynNets	130	LosAngelesLakers	112	18997
MilwaukeeBucks	141	DetroitPistons	135	19996
Philadelphia76ers	97	CharlotteHornets	89	18261
SanAntonioSpurs	131	WashingtonWizards	127	17922
ClevelandCavaliers	116	AtlantaHawks	95	17047
TorontoRaptors	100	NewYorkKnicks	126	19812
MemphisGrizzlies	96	ChicagoBulls	125	21441
UtahJazz	126	HoustonRockets	127	16618
OklahomaCityThunder	102	MinnesotaTimberwolves	97	
BrooklynNets	114	LosAngelesClippers	125	19370
MiamiHeat	87	OrlandoMagic	105	18102
DenverNuggets	113	WashingtonWizards	104	17107
BostonCeltics	116	HoustonRockets	107	18055
IndianaPacers	110	PhoenixSuns	117	17071
PortlandTrailBlazers	110	LosAngelesLakers	134	18997
MilwaukeeBucks	122	DetroitPistons	113	17201
ClevelandCavaliers	126	OrlandoMagic	99	19301
SanAntonioSpurs	123	Philadelphia76ers	133	20511
MemphisGrizzlies	108	TorontoRaptors	100	18577
CharlotteHornets	128	MinnesotaTimberwolves	125	18024
BostonCeltics	119	DallasMavericks	110	20277
ChicagoBulls	113	PhoenixSuns	115	17071
AtlantaHawks	107	SacramentoKings	122	17832
DenverNuggets	114	IndianaPacers	109	16004
NewYorkKnicks	108	BrooklynNets	103	17732
UtahJazz	124	NewOrleansPelicans	153	16032
PortlandTrailBlazers	109	OklahomaCityThunder	111	15874
LosAngelesLakers	116	LosAngelesClippers	127	19370
CharlotteHornets	106	DetroitPistons	113	15020
MinnesotaTimberwolves	118	WashingtonWizards	107	15446
MemphisGrizzlies	105	MiamiHeat	96	19600
PortlandTrailBlazers	137	HoustonRockets	131	18055
ClevelandCavaliers	116	MilwaukeeBucks	126	17510
PhoenixSuns	132	DallasMavericks	109	20202
OklahomaCityThunder	140	SanAntonioSpurs	114	18130
AtlantaHawks	112	GoldenStateWarriors	134	18064
Philadelphia76ers	122	IndianaPacers	134	15699
UtahJazz	123	WashingtonWizards	108	14027
